year,month,day,hour,minute,second,location
2022,3,30,14,20,3.294634,bedroom
2022,3,30,14,20,43.22162,living room
2022,4,5,17,42,40.829407,bedroom
2022,4,5,17,42,41.85276,bedroom
2022,4,5,17,42,42.876341,bedroom
2022,4,5,17,42,43.895497,bedroom
2022,4,5,17,42,44.923938,bedroom
2022,4,5,17,42,45.950368,bedroom
2022,4,5,17,42,46.972751,bedroom
2022,4,5,17,42,47.999459,bedroom
2022,4,5,17,42,49.020781,bedroom
2022,4,5,17,42,50.046526,bedroom
2022,4,5,17,42,51.068778,bedroom
2022,4,5,17,42,52.093067,bedroom
2022,4,5,17,42,53.117736,bedroom
2022,4,5,17,42,54.142313,bedroom
2022,4,5,17,42,55.166298,bedroom
2022,4,5,17,51,44.212459,bedroom
2022,4,5,17,51,45.094398,living room
2022,4,5,17,51,45.243669,bedroom
2022,4,5,17,51,46.117536,living room
2022,4,5,17,51,46.262644,bedroom
2022,4,5,17,51,47.142496,living room
2022,4,5,17,51,47.289336,bedroom
2022,4,5,17,51,48.165119,living room
2022,4,5,17,51,48.313742,bedroom
2022,4,5,17,51,49.19019,living room
2022,4,5,17,51,49.337118,bedroom
2022,4,5,17,51,50.214684,living room
2022,4,5,17,51,50.246685,bedroom
2022,4,5,17,51,50.361123,bedroom
2022,4,5,17,51,51.239994,living room
2022,4,5,17,51,51.385194,bedroom
2022,4,5,17,51,52.262497,living room
2022,4,5,17,51,52.409498,bedroom
2022,4,5,17,51,53.285504,living room
2022,4,5,17,51,53.43329,bedroom
2022,4,5,17,51,54.309987,living room
2022,4,5,17,51,54.457434,bedroom
2022,4,5,17,51,55.339629,living room
2022,4,5,17,51,55.481229,bedroom
2022,4,5,17,51,56.356724,living room
2022,4,5,17,51,56.505488,bedroom
2022,4,5,17,51,57.381513,living room
2022,4,5,17,51,57.529511,bedroom
2022,4,5,17,51,58.404483,living room
2022,4,5,17,51,58.55016,bedroom
2022,4,5,17,51,59.429391,living room
2022,4,5,17,51,59.555268,living room
2022,4,5,17,51,59.604265,bedroom
2022,4,5,17,52,0.453038,living room
2022,4,5,17,52,0.601609,bedroom
2022,4,5,17,52,1.476868,living room
2022,4,5,17,52,1.622192,bedroom
2022,4,5,17,52,2.500988,living room
2022,4,5,17,52,2.6495,bedroom
2022,4,5,17,52,3.523024,living room
2022,4,5,17,52,3.669679,bedroom
2022,4,5,17,52,4.549495,living room
2022,4,5,17,52,4.69747,bedroom
2022,4,5,17,52,4.753288,living room
2022,4,5,17,52,5.578093,living room
2022,4,5,17,52,5.726488,bedroom
2022,4,5,17,52,6.601936,living room
2022,4,5,17,52,6.750567,bedroom
2022,4,5,17,52,6.991464,bedroom
2022,4,5,17,52,7.626608,living room
2022,4,5,17,52,7.774186,bedroom
2022,4,5,17,52,8.645461,living room
2022,4,5,17,52,8.790449,bedroom
2022,4,5,17,52,9.668456,living room
2022,4,5,17,52,9.812968,bedroom
